time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-28T06:40:10.673Z,38.1653,-117.8881,8.5,3,ml,13,73.91,0.083,0.1271,nn,nn00885301,2024-09-28T17:35:58.233Z,"31 km SE of Mina, Nevada",earthquake,,1.1,0.55,6,reviewed,nn,nn
2024-09-28T03:28:47.200Z,34.0575,-118.8075,10.16,2.84,ml,99,96,0.02888,0.3,ci,ci40747447,2024-09-29T18:57:38.100Z,"6 km N of Malibu, CA",earthquake,0.26,0.42,0.158,192,reviewed,ci,ci
2024-09-28T03:06:12.310Z,41.8627,-126.8396,10,4.6,mb,71,174,1.907,0.67,us,us7000ngxs,2024-09-28T14:29:46.486Z,"207 km WSW of Pistol River, Oregon",earthquake,8.81,1.877,0.092,35,reviewed,us,us
2024-09-28T03:04:15.149Z,41.8543,-126.8404,10,5.1,mww,69,213,1.91,1.35,us,us7000ngxr,2024-10-01T03:14:24.229Z,"207 km WSW of Pistol River, Oregon",earthquake,3.95,2.005,0.044,49,reviewed,us,us
2024-09-28T02:08:00.418Z,59.6506,-151.8707,57.4,2.5,ml,,,,0.15,ak,ak024chvezah,2024-09-28T03:05:37.040Z,"14 km S of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-09-27T23:45:24.949Z,8.9123,40.2427,10,4.6,mb,32,262,3.652,0.55,us,us7000ngx8,2024-09-28T03:09:30.996Z,"11 km SE of Āwash, Ethiopia",earthquake,10.51,1.985,0.109,25,reviewed,us,us
2024-09-27T23:39:25.106Z,10.9783,-62.6547,107.729,4.8,mb,47,72,1.509,0.78,us,us7000ngx7,2024-09-28T00:14:32.276Z,"49 km NNE of Yaguaraparo, Venezuela",earthquake,6.53,6.848,0.043,169,reviewed,us,us
2024-09-27T22:22:50.326Z,53.8846,158.6995,151.721,4.6,mb,139,89,0.863,0.62,us,us7000ngwt,2024-09-27T22:42:14.040Z,"80 km NNE of Yelizovo, Russia",earthquake,10.03,7.394,0.044,157,reviewed,us,us
2024-09-27T22:04:23.119Z,-19.2663,169.1929,129.398,4.8,mb,24,131,3.708,0.98,us,us7000ngwr,2024-09-27T22:23:44.040Z,"Vanuatu",earthquake,11.85,8.981,0.118,22,reviewed,us,us
2024-09-27T21:56:45.857Z,-22.9511,-177.0742,153.496,4.9,mb,57,66,2.511,0.94,us,us7000ngwn,2024-09-27T22:16:33.040Z,"268 km SW of Houma, Tonga",earthquake,10.88,7.172,0.042,176,reviewed,us,us
2024-09-27T21:26:10.375Z,61.5042,-150.8353,44,2.7,ml,,,,0.56,ak,ak024cgjaqwp,2024-09-27T21:49:15.040Z,"17 km WSW of Susitna, Alaska",earthquake,,1.8,,,automatic,ak,ak
2024-09-27T17:24:53.058Z,32.409,-102.044,7.6904,3.3,ml,23,71,0.1,0.2,tx,tx2024taqv,2024-09-28T12:30:38.600Z,"33 km WSW of Ackerly, Texas",earthquake,0.6950023600920953,1.2482739331512,0.1,29,reviewed,tx,tx
2024-09-27T14:58:08.399Z,-19.9897,169.3085,103.093,5.1,mww,83,64,3.135,1.03,us,us7000ngth,2024-09-27T15:12:34.040Z,"49 km S of Isangel, Vanuatu",earthquake,6.73,4.536,0.071,19,reviewed,us,us
2024-09-27T14:16:46.663Z,67.3056,-156.1824,1.5,2.7,ml,,,,0.38,ak,ak024cgf2ncq,2024-09-27T14:19:17.576Z,"53 km NE of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-09-27T13:50:24.093Z,12.3818,142.8257,26.897,4.9,mb,51,91,4.042,0.96,us,us7000ngt9,2024-09-27T14:08:05.040Z,"222 km WSW of Merizo Village, Guam",earthquake,10.46,4.885,0.063,79,reviewed,us,us
2024-09-27T12:49:20.761Z,42.0716,-126.0152,10,3.1,ml,83,227,1.261,0.9,us,us7000ngt2,2024-09-28T08:56:55.040Z,"135 km W of Pistol River, Oregon",earthquake,6.02,2.01,0.032,130,reviewed,us,us
2024-09-27T12:31:09.382Z,55.648,-161.6594,8.116,2.6,ml,15,113,0.227,0.49,us,us7000ngwp,2024-09-28T08:36:44.040Z,"48 km SW of Nelson Lagoon, Alaska",earthquake,1.39,7.161,0.097,14,reviewed,us,us
2024-09-27T12:20:07.035Z,9.1726,40.0291,10,4.5,mb,29,104,3.63,0.71,us,us7000ngt3,2024-09-28T04:55:14.040Z,"25 km NW of Āwash, Ethiopia",earthquake,11.45,1.918,0.116,22,reviewed,us,us
2024-09-27T11:20:17.313Z,-30.8448,-179.7471,355.386,5.2,mb,76,65,2.235,0.77,us,us7000ngsr,2024-09-30T09:09:47.040Z,"Kermadec Islands region",earthquake,4.37,5.822,0.033,308,reviewed,us,us
2024-09-27T10:44:20.034Z,-24.8731,178.5262,608.427,4.6,mb,56,128,5.38,0.64,us,us7000ngsn,2024-09-27T11:14:33.040Z,"south of the Fiji Islands",earthquake,14.33,9.564,0.077,50,reviewed,us,us
2024-09-27T09:37:26.438Z,-13.6744,-171.3992,10,4.5,mb,17,91,0.439,0.65,us,us7000ngsh,2024-09-27T18:29:38.848Z,"30 km NE of Lufilufi, Samoa",earthquake,1.97,1.902,0.222,7,reviewed,us,us
2024-09-27T08:58:38.984Z,68.524,-144.2783,0,2.8,ml,,,,0.57,ak,ak024cgbr163,2024-09-27T11:45:56.040Z,"68 km NE of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-09-27T08:22:03.368Z,-24.0588,-67.0014,203.742,4.3,mb,18,95,2.6,0.52,us,us7000ngs4,2024-09-27T11:26:22.040Z,"71 km WNW of San Antonio de los Cobres, Argentina",earthquake,6.03,10.7,0.168,10,reviewed,us,us
2024-09-27T08:17:17.214Z,-21.9705,-68.1872,124.314,4.3,mb,30,111,0.995,0.78,us,us7000ngs0,2024-09-27T09:11:14.040Z,"82 km S of Ollagüe, Chile",earthquake,4.36,7.619,0.106,25,reviewed,us,us
2024-09-27T06:35:29.396Z,78.7232,-19.7205,8.799,4.4,mb,43,69,6.106,0.74,us,us7000ngri,2024-09-27T07:12:43.040Z,"eastern Greenland",earthquake,8.77,5.209,0.095,32,reviewed,us,us
2024-09-27T05:56:45.184Z,-20.8471,-67.4424,181.095,4.3,mb,42,92,1.751,0.84,us,us7000ngra,2024-09-27T06:52:16.040Z,"77 km WSW of Uyuni, Bolivia",earthquake,7.99,9.102,0.088,37,reviewed,us,us
2024-09-27T05:40:55.288Z,-7.1974,147.3316,58.397,4.9,mb,45,81,2.2,1.01,us,us7000ngr9,2024-09-27T06:02:07.040Z,"64 km SE of Lae, Papua New Guinea",earthquake,8.74,7.522,0.076,55,reviewed,us,us
2024-09-27T05:27:34.450Z,18.8655,-65.8466666666667,11.01,3.32,md,12,230,0.7196,0.22,pr,pr71461258,2024-09-27T07:28:52.410Z,"48 km N of Suárez, Puerto Rico",earthquake,1.16,1.97,0.0464222397137177,8,reviewed,pr,pr
2024-09-27T04:36:20.269Z,8.9423,40.0832,10,4.9,mb,47,195,3.743,0.67,us,us7000ngr4,2024-09-28T00:28:41.641Z,"10 km WSW of Āwash, Ethiopia",earthquake,13.55,1.957,0.077,53,reviewed,us,us
2024-09-27T03:39:31.854Z,11.8785,-87.6523,51.404,5.1,mww,70,135,1.021,0.93,us,us7000ngr0,2024-09-27T13:35:29.040Z,"84 km SW of Corinto, Nicaragua",earthquake,6.64,7.701,0.08,15,reviewed,us,us
2024-09-27T02:56:30.290Z,17.7735,-96.6811,92.216,4.2,mb,43,142,1.81,1.23,us,us7000ngqq,2024-09-27T04:58:23.839Z,"6 km SSW of San Pedro Sochiápam, Mexico",earthquake,9.05,12.105,0.051,108,reviewed,us,us
2024-09-27T02:23:00.695Z,-10.9539,161.4818,10,5.3,mww,37,101,2.133,1.14,us,us7000ngqn,2024-09-27T13:27:09.040Z,"73 km SW of Kirakira, Solomon Islands",earthquake,7.68,1.785,0.098,10,reviewed,us,us
2024-09-27T02:03:20.796Z,35.0085,22.7369,58.178,4,mb,21,212,1.786,0.81,us,us7000ngql,2024-09-27T02:31:00.040Z,"89 km WSW of Palaióchora, Greece",earthquake,11,14.721,0.211,6,reviewed,us,us
2024-09-27T01:35:43.856Z,-11.4799,-13.5756,10,4.9,mb,26,110,3.608,0.67,us,us7000ngrc,2024-09-28T21:52:21.040Z,"Ascension Island region",earthquake,12.04,1.881,0.112,25,reviewed,us,us
